資訊清單建立者	17807
日期	06-Jul-2026 22:46:30
目前工作零件	D:\OH-WorkSpace\GGV_LTS_SensitivityAnsysis_V4.0\chengdu endurance track4.0_dwg.prt
節點名	queenzzzworkbook


曲線的曲率分析
------------------------------------------------------------
分析曲線 #               1
檢查點的個數 =             6250
投影平面 = 無
  參數      XC          YC          ZC      曲率      力矩
  0.012322  -321.254231  -350.512383    0.000000  3.956710e-04  0.000000e+00
  0.012482  -321.279441  -350.654161    0.000000  6.376683e-04  0.000000e+00
  0.012642  -321.304637  -350.795942    0.000000  1.699984e-03  0.000000e+00
  0.012802  -321.329798  -350.937725    0.000000  2.789517e-03  0.000000e+00
  0.012962  -321.354900  -351.079507    0.000000  3.904538e-03  0.000000e+00
  0.013122  -321.379919  -351.221288    0.000000  5.043343e-03  0.000000e+00
  0.013282  -321.404832  -351.363065    0.000000  6.204248e-03  0.000000e+00
  0.013442  -321.429613  -351.504837    0.000000  7.385581e-03  0.000000e+00
  0.013602  -321.454237  -351.646602    0.000000  8.585683e-03  0.000000e+00
  0.013762  -321.478680  -351.788358    0.000000  9.802899e-03  0.000000e+00
  0.013922  -321.502916  -351.930104    0.000000  1.103557e-02  0.000000e+00
  0.014082  -321.526917  -352.071837    0.000000  1.228203e-02  0.000000e+00
  0.014242  -321.550659  -352.213557    0.000000  1.354061e-02  0.000000e+00
  0.014402  -321.574115  -352.355260    0.000000  1.480959e-02  0.000000e+00
  0.014562  -321.597259  -352.496946    0.000000  1.608727e-02  0.000000e+00
  0.014722  -321.620064  -352.638613    0.000000  1.737189e-02  0.000000e+00
  0.014882  -321.642503  -352.780258    0.000000  1.866164e-02  0.000000e+00
  0.015042  -321.664551  -352.921880    0.000000  1.995470e-02  0.000000e+00
  0.015202  -321.686180  -353.063478    0.000000  2.124918e-02  0.000000e+00
  0.015362  -321.707364  -353.205048    0.000000  2.254313e-02  0.000000e+00
  0.015522  -321.728078  -353.346590    0.000000  2.383455e-02  0.000000e+00
  0.015683  -321.748295  -353.488103    0.000000  2.512138e-02  0.000000e+00
  0.015843  -321.767989  -353.629583    0.000000  2.640147e-02  0.000000e+00
  0.016003  -321.787135  -353.771030    0.000000  2.767263e-02  0.000000e+00
  0.016163  -321.805709  -353.912443    0.000000  2.893255e-02  0.000000e+00
  0.016323  -321.823685  -354.053819    0.000000  3.017887e-02  0.000000e+00
  0.016483  -321.841038  -354.195157    0.000000  3.140915e-02  0.000000e+00
  0.016643  -321.857747  -354.336455    0.000000  3.262084e-02  0.000000e+00
  0.016803  -321.873786  -354.477714    0.000000  3.381135e-02  0.000000e+00
  0.016963  -321.889133  -354.618930    0.000000  3.497795e-02  0.000000e+00
  0.017123  -321.903767  -354.760103    0.000000  3.611788e-02  0.000000e+00
  0.017283  -321.917666  -354.901232    0.000000  3.722828e-02  0.000000e+00
  0.017443  -321.930809  -355.042316    0.000000  3.830621e-02  0.000000e+00
  0.017603  -321.943177  -355.183354    0.000000  3.934866e-02  0.000000e+00
  0.017763  -321.954749  -355.324344    0.000000  4.035256e-02  0.000000e+00
  0.017923  -321.965509  -355.465287    0.000000  4.131477e-02  0.000000e+00
  0.018083  -321.975438  -355.606182    0.000000  4.223212e-02  0.000000e+00
  0.018243  -321.984520  -355.747028    0.000000  4.310136e-02  0.000000e+00
  0.018403  -321.992739  -355.887824    0.000000  4.391924e-02  0.000000e+00
  0.018563  -322.000081  -356.028571    0.000000  4.468246e-02  0.000000e+00
  0.018723  -322.006533  -356.169268    0.000000  4.538773e-02  0.000000e+00
  0.018883  -322.012083  -356.309915    0.000000  4.603175e-02  0.000000e+00
  0.019043  -322.016718  -356.450512    0.000000  4.661122e-02  0.000000e+00
  0.019203  -322.020430  -356.591060    0.000000  4.712288e-02  0.000000e+00
  0.019363  -322.023210  -356.731558    0.000000  4.756349e-02  0.000000e+00
  0.019523  -322.025050  -356.872008    0.000000  4.792989e-02  0.000000e+00
  0.019683  -322.025944  -357.012410    0.000000  4.821894e-02  0.000000e+00
  0.019843  -322.025888  -357.152765    0.000000  4.842762e-02  0.000000e+00
  0.020003  -322.024879  -357.293073    0.000000  4.855296e-02  0.000000e+00
  0.020163  -322.022915  -357.433337    0.000000  4.859213e-02  0.000000e+00
  0.020323  -322.019995  -357.573556    0.000000  4.854257e-02  0.000000e+00
  0.020483  -322.016122  -357.713734    0.000000  4.840429e-02  0.000000e+00
  0.020643  -322.011297  -357.853871    0.000000  4.817897e-02  0.000000e+00
  0.020803  -322.005527  -357.993969    0.000000  4.786845e-02  0.000000e+00
  0.020963  -321.998816  -358.134030    0.000000  4.747472e-02  0.000000e+00
  0.021123  -321.991172  -358.274056    0.000000  4.699989e-02  0.000000e+00
  0.021283  -321.982604  -358.414051    0.000000  4.644621e-02  0.000000e+00
  0.021443  -321.973123  -358.554015    0.000000  4.581603e-02  0.000000e+00
  0.021603  -321.962740  -358.693952    0.000000  4.511182e-02  0.000000e+00
  0.021763  -321.951467  -358.833864    0.000000  4.433612e-02  0.000000e+00
  0.021924  -321.939319  -358.973754    0.000000  4.349156e-02  0.000000e+00
  0.022084  -321.926312  -359.113625    0.000000  4.258084e-02  0.000000e+00
  0.022244  -321.912462  -359.253480    0.000000  4.160671e-02  0.000000e+00
  0.022404  -321.897787  -359.393321    0.000000  4.057194e-02  0.000000e+00
  0.022564  -321.882306  -359.533153    0.000000  3.947935e-02  0.000000e+00
  0.022724  -321.866039  -359.672977    0.000000  3.833176e-02  0.000000e+00
  0.022884  -321.849007  -359.812799    0.000000  3.713200e-02  0.000000e+00
  0.023044  -321.831232  -359.952619    0.000000  3.588288e-02  0.000000e+00
  0.023204  -321.812738  -360.092443    0.000000  3.458719e-02  0.000000e+00
  0.023364  -321.793548  -360.232274    0.000000  3.324769e-02  0.000000e+00
  0.023524  -321.773688  -360.372114    0.000000  3.186710e-02  0.000000e+00
  0.023684  -321.753183  -360.511968    0.000000  3.044808e-02  0.000000e+00
  0.023844  -321.732060  -360.651839    0.000000  2.899324e-02  0.000000e+00
  0.024004  -321.710346  -360.791730    0.000000  2.750513e-02  0.000000e+00
  0.024164  -321.688071  -360.931644    0.000000  2.598622e-02  0.000000e+00
  0.024324  -321.665262  -361.071586    0.000000  2.443891e-02  0.000000e+00
  0.024484  -321.641950  -361.211559    0.000000  2.286552e-02  0.000000e+00
