Coefficient,Value
PCY1,-1.242532
PDY1,-2.546792
PDY2,0.150155
PDY3,0.000000
PEY1,-1.097192
PEY2,2.000000
PEY3,1.333681
PEY4,-2.007507
PKY1,-41.424328
PKY2,1.360033
PKY3,0.500000
PHY1,-0.001036
PHY2,-0.002752
PHY3,-0.117254
PVY1,-0.082298
PVY2,0.022464
PVY3,0.000000
PVY4,-0.092129
